1636773450344|SEVERE|org.arl.unet.sim.HalfDuplexModem/Base@2642:die|Agent phy died: java.lang.NullPointerException
1636773450344|INFO|AUV1_Agent/1@2624:println|AUV-1 [106.0, 0.0, 0.0]
1636773452005|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773452005|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773452005|INFO|AUV1_Agent/1@2624:println|AUV-1 [189.05, 0.0, 0.0]
1636773452594|INFO|AUV2_Agent/2@2628:println|Sending data to : AUV-3
1636773453666|INFO|org.arl.unet.nodeinfo.NodeInfo/Base@2644:obtainAddress|Node name is Base, address is 1, address size is 8 bits
1636773453682|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773453682|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773453682|INFO|AUV1_Agent/1@2624:println|AUV-1 [272.90000000000003, 0.0, 0.0]
1636773454363|INFO|AUV2_Agent/2@2628:println|Sending data to : AUV-3
1636773454990|INFO|AUV3_Agent/3@2632:println|Data recieved as from AUV-2: 0 
1636773455339|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773455339|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773455339|INFO|AUV1_Agent/1@2624:println|AUV-1 [355.75, 0.0, 0.0]
1636773456150|INFO|AUV2_Agent/2@2628:println|Sending data to : AUV-3
1636773456868|INFO|AUV3_Agent/3@2632:println|Data recieved as from AUV-2: 0 
1636773457005|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773457005|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773457005|INFO|AUV1_Agent/1@2624:println|AUV-1 [439.05, 0.0, 0.0]
1636773457532|INFO|AUV2_Agent/2@2628:println|Sending data to : AUV-3
1636773458675|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773458675|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773458675|INFO|AUV1_Agent/1@2624:println|AUV-1 [522.5500000000001, 0.0, 0.0]
1636773458770|INFO|AUV3_Agent/3@2632:println|Data recieved as from AUV-2: 0 
